work_order_id,asset_id,location_id,problem_code,problem_description,created_date,closed_date,technician_id,priority,cost,resolution_code,asset_category,asset_age_category,resolution_hours,season_flag
WO-03608,ASSET-252,LOC-19,FIRE-002,Detector false alarm,2024-01-03 11:00:00,2024-01-03 13:55:48,FR-959,Medium,349.63,,Fire,mid,2.93,winter
WO-02578,ASSET-263,LOC-48,FIRE-006,Suppression valve issue,2024-01-03 12:00:00,2024-01-03 17:20:24,EL-292,High,513.68,INSPECTED,Electrical,new,5.34,winter
WO-04721,ASSET-337,LOC-02,GEN-005,Furniture repair,2024-01-03 14:00:00,2024-01-03 16:46:48,SC-978,Critical,220.51,RESET,Security,old,2.78,winter
WO-04352,ASSET-407,LOC-49,ELEC-007,Circuit trip,2024-01-03 21:00:00,2024-01-04 01:33:00,HV-650,Medium,629.45,REPLACED,HVAC,old,4.55,winter
WO-01459,ASSET-476,LOC-32,ELEC-007,Circuit trip,2024-01-04 02:00:00,2024-01-04 04:08:24,BM-565,High,487.46,,BMS,old,2.14,winter
WO-03188,ASSET-306,LOC-42,HVAC-001,Cooling failure,2024-01-04 07:00:00,2024-01-04 09:00:00,GN-707,Low,576.31,PATCHED,General,mid,2.0,winter
WO-02754,ASSET-387,LOC-31,WATR-002,Pump cavitation,2024-01-04 08:00:00,2024-01-04 12:00:36,LF-699,High,563.88,,Lift,new,4.01,winter
WO-01707,ASSET-163,LOC-12,ELEC-011,Lighting panel fault,2024-01-04 10:00:00,2024-01-04 13:10:12,PL-143,High,339.9,,Plumbing,old,3.17,winter
WO-00599,ASSET-007,LOC-30,IT-005,UPS battery alert,2024-01-04 19:00:00,2024-01-04 21:47:24,BM-609,Critical,478.46,,BMS,new,2.79,winter
WO-02951,ASSET-094,LOC-45,LIFT-005,Cabin leveling fault,2024-01-04 22:00:00,2024-01-05 02:30:36,SC-564,High,591.68,RESET,Security,old,4.51,winter
WO-02432,ASSET-150,LOC-32,PLMB-007,Pipe leak,2024-01-05 05:00:00,2024-01-05 09:11:24,LF-572,Low,315.93,PATCHED,Lift,mid,4.19,winter
WO-04656,ASSET-494,LOC-16,WATR-006,Low pressure alert,2024-01-05 13:00:00,2024-01-05 14:37:12,FR-923,Low,289.23,REPLACED,Fire,new,1.62,winter
WO-03013,ASSET-384,LOC-50,PLMB-003,Drain clog,2024-01-05 16:00:00,2024-01-05 20:54:00,PL-375,High,420.59,RESET,Plumbing,mid,4.9,winter
WO-03282,ASSET-167,LOC-02,SEC-008,Camera offline,2024-01-05 16:00:00,2024-01-05 22:50:24,FR-509,High,541.31,REPLACED,Fire,old,6.84,winter
WO-04432,ASSET-286,LOC-28,FIRE-006,Suppression valve issue,2024-01-05 17:00:00,2024-01-05 20:35:24,PL-717,High,441.85,,Plumbing,mid,3.59,winter
WO-04050,ASSET-454,LOC-47,SEC-008,Camera offline,2024-01-05 19:00:00,2024-01-05 23:10:12,FR-364,High,341.07,,Fire,mid,4.17,winter
WO-00441,ASSET-116,LOC-45,IT-002,Network cabinet overheat,2024-01-05 20:00:00,2024-01-05 23:33:36,LF-998,High,258.74,PATCHED,Lift,new,3.56,winter
WO-03851,ASSET-208,LOC-42,LIFT-005,Cabin leveling fault,2024-01-05 21:00:00,2024-01-06 00:36:00,LF-532,Critical,150.09,,Lift,new,3.6,winter
WO-04637,ASSET-166,LOC-10,LIFT-005,Cabin leveling fault,2024-01-05 23:00:00,2024-01-06 01:51:00,GN-756,Critical,560.22,INSPECTED,General,old,2.85,winter
WO-03942,ASSET-456,LOC-19,HVAC-001,Cooling failure,2024-01-06 01:00:00,2024-01-06 04:21:00,HV-138,Low,480.34,PATCHED,HVAC,old,3.35,winter
WO-03298,ASSET-421,LOC-46,GEN-005,Furniture repair,2024-01-06 03:00:00,2024-01-06 04:18:36,EL-131,Low,645.79,INSPECTED,Electrical,mid,1.31,winter
WO-03070,ASSET-018,LOC-39,WATR-002,Pump cavitation,2024-01-06 03:00:00,2024-01-06 08:33:36,PL-110,High,310.29,,Plumbing,old,5.56,winter
WO-03887,ASSET-458,LOC-08,ELEC-015,Generator warning alarm,2024-01-06 06:00:00,2024-01-06 08:33:36,HV-765,Low,524.56,INSPECTED,HVAC,mid,2.56,winter
WO-01166,ASSET-387,LOC-36,ROOF-003,Roof drain blockage,2024-01-06 08:00:00,2024-01-06 11:50:24,LF-913,Critical,478.61,,Lift,mid,3.84,winter
WO-01576,ASSET-493,LOC-42,STRC-001,Door closer failure,2024-01-06 08:00:00,2024-01-06 11:31:12,BM-281,Critical,509.06,INSPECTED,BMS,new,3.52,winter
WO-03425,ASSET-355,LOC-03,HVAC-010,Airflow imbalance,2024-01-06 13:00:00,2024-01-06 14:36:00,FR-524,Medium,669.1,,Fire,old,1.6,winter
WO-03674,ASSET-202,LOC-25,PLMB-007,Pipe leak,2024-01-06 14:00:00,2024-01-06 15:18:00,LF-847,Low,493.64,PATCHED,Lift,mid,1.3,winter
WO-03080,ASSET-108,LOC-22,SEC-008,Camera offline,2024-01-06 16:00:00,2024-01-06 20:54:00,HV-988,High,304.63,INSPECTED,HVAC,old,4.9,winter
WO-00285,ASSET-209,LOC-42,CUST-001,Tenant comfort complaint,2024-01-06 17:00:00,2024-01-06 20:54:36,EL-999,Critical,450.08,INSPECTED,Electrical,old,3.91,winter
WO-03007,ASSET-073,LOC-34,BMS-009,Setpoint drift,2024-01-06 18:00:00,2024-01-06 23:16:12,EL-971,High,409.23,,Electrical,old,5.27,winter
WO-01658,ASSET-411,LOC-20,HVAC-004,Compressor short cycling,2024-01-07 01:00:00,2024-01-07 03:40:12,EL-481,Medium,255.44,,Electrical,old,2.67,winter
WO-04133,ASSET-102,LOC-06,ELEC-011,Lighting panel fault,2024-01-07 01:00:00,2024-01-07 05:03:36,HV-474,Low,452.01,,HVAC,mid,4.06,winter
WO-00609,ASSET-175,LOC-26,STRC-004,Ceiling tile leak stain,2024-01-07 03:00:00,2024-01-07 05:16:12,FR-841,Low,279.28,REPLACED,Fire,new,2.27,winter
WO-00798,ASSET-175,LOC-19,GEN-005,Furniture repair,2024-01-07 07:00:00,2024-01-07 11:45:00,GN-617,Medium,395.52,RESET,General,mid,4.75,winter
WO-02101,ASSET-352,LOC-34,GEN-001,General handyman request,2024-01-07 11:00:00,2024-01-07 14:04:48,HV-954,Medium,500.58,INSPECTED,HVAC,new,3.08,winter
WO-03845,ASSET-262,LOC-18,FIRE-002,Detector false alarm,2024-01-07 11:00:00,2024-01-07 12:11:24,HV-762,Medium,311.41,RESET,HVAC,mid,1.19,winter
WO-02029,ASSET-126,LOC-27,ELEC-015,Generator warning alarm,2024-01-07 14:00:00,2024-01-07 16:03:00,BM-155,Medium,265.64,REPLACED,BMS,mid,2.05,winter
WO-01086,ASSET-059,LOC-05,WATR-006,Low pressure alert,2024-01-07 15:00:00,2024-01-07 18:29:24,LF-100,Medium,516.15,,Lift,new,3.49,winter
WO-00873,ASSET-423,LOC-26,BMS-003,Sensor communication fault,2024-01-08 04:00:00,2024-01-08 07:04:48,PL-719,Medium,415.07,,Plumbing,mid,3.08,winter
WO-03210,ASSET-016,LOC-33,GEN-001,General handyman request,2024-01-08 09:00:00,2024-01-08 13:36:00,PL-527,Low,715.43,PATCHED,Plumbing,new,4.6,winter
WO-02134,ASSET-253,LOC-03,IT-005,UPS battery alert,2024-01-08 09:00:00,2024-01-08 13:48:00,GN-541,Critical,515.93,INSPECTED,General,old,4.8,winter
WO-02300,ASSET-448,LOC-08,FIRE-002,Detector false alarm,2024-01-08 12:00:00,2024-01-08 15:51:00,HV-148,Critical,438.9,,HVAC,new,3.85,winter
WO-02224,ASSET-187,LOC-46,BMS-009,Setpoint drift,2024-01-08 15:00:00,2024-01-08 17:59:24,BM-385,High,281.3,INSPECTED,BMS,old,2.99,winter
WO-02886,ASSET-235,LOC-28,ELEC-007,Circuit trip,2024-01-08 16:00:00,2024-01-08 19:24:00,BM-797,Low,547.56,REPLACED,BMS,old,3.4,winter
WO-00637,ASSET-365,LOC-33,BMS-009,Setpoint drift,2024-01-08 18:00:00,2024-01-08 22:13:48,LF-375,Critical,348.45,,Lift,old,4.23,winter
WO-04921,ASSET-223,LOC-44,WATR-002,Pump cavitation,2024-01-09 00:00:00,2024-01-09 02:51:36,SC-816,Medium,663.05,PATCHED,Security,old,2.86,winter
WO-01890,ASSET-057,LOC-11,LIFT-008,Control panel reset,2024-01-09 05:00:00,2024-01-09 07:15:00,FR-641,Medium,627.9,INSPECTED,Fire,mid,2.25,winter
WO-01814,ASSET-425,LOC-01,PLMB-010,Restroom backup,2024-01-09 06:00:00,2024-01-09 06:53:24,FR-174,Critical,643.37,REPLACED,Fire,mid,0.89,winter
WO-03109,ASSET-139,LOC-26,LIFT-002,Door malfunction,2024-01-09 06:00:00,2024-01-09 11:18:00,EL-997,Critical,507.51,INSPECTED,Electrical,old,5.3,winter
WO-02380,ASSET-043,LOC-19,HVAC-001,Cooling failure,2024-01-09 15:00:00,2024-01-09 18:31:12,,High,600.72,RESET,HVAC,new,3.52,winter
WO-01075,ASSET-239,LOC-44,CUST-001,Tenant comfort complaint,2024-01-09 15:00:00,2024-01-09 17:42:36,EL-253,High,471.85,,Electrical,old,2.71,winter
WO-01850,ASSET-261,LOC-06,LIFT-005,Cabin leveling fault,2024-01-09 18:00:00,2024-01-09 18:57:00,BM-934,High,441.9,REPLACED,BMS,mid,0.95,winter
WO-02455,ASSET-285,LOC-46,BMS-003,Sensor communication fault,2024-01-09 20:00:00,2024-01-09 21:39:36,LF-964,Medium,448.85,INSPECTED,Lift,mid,1.66,winter
WO-04739,ASSET-085,LOC-03,HVAC-004,Compressor short cycling,2024-01-09 20:00:00,2024-01-09 21:12:00,SC-626,Medium,573.36,RESET,Security,new,1.2,winter
WO-03113,ASSET-170,LOC-13,LIFT-008,Control panel reset,2024-01-09 20:00:00,2024-01-09 22:47:24,LF-885,Low,227.76,REPLACED,Lift,old,2.79,winter
WO-03018,ASSET-048,LOC-39,HVAC-001,Cooling failure,2024-01-10 07:00:00,2024-01-10 07:30:00,PL-523,Medium,510.93,REPLACED,Plumbing,mid,0.5,winter
WO-01169,ASSET-151,LOC-47,PLMB-003,Drain clog,2024-01-10 09:00:00,2024-01-10 12:45:00,SC-792,High,621.24,,Security,mid,3.75,winter
WO-02131,ASSET-108,LOC-47,PLMB-003,Drain clog,2024-01-11 10:00:00,2024-01-11 12:19:48,BM-890,Medium,564.79,RESET,BMS,old,2.33,winter
WO-00164,ASSET-124,LOC-47,ELEC-007,Circuit trip,2024-01-11 16:00:00,2024-01-11 17:09:36,PL-516,Critical,409.29,,Plumbing,new,1.16,winter
WO-02118,ASSET-290,LOC-11,ROOF-003,Roof drain blockage,2024-01-11 21:00:00,2024-01-12 00:54:00,PL-709,Low,759.21,REPLACED,Plumbing,new,3.9,winter
WO-00495,ASSET-388,LOC-33,ELEC-011,Lighting panel fault,2024-01-11 21:00:00,2024-01-11 22:21:36,EL-243,Critical,491.01,REPLACED,Electrical,new,1.36,winter
WO-04844,ASSET-128,LOC-11,ELEC-011,Lighting panel fault,2024-01-11 22:00:00,2024-01-12 01:08:24,SC-336,High,525.1,RESET,Security,old,3.14,winter
WO-00932,ASSET-063,LOC-32,PLMB-003,Drain clog,2024-01-12 03:00:00,2024-01-12 05:42:00,PL-756,Medium,525.82,RESET,Plumbing,old,2.7,winter
WO-03854,ASSET-070,LOC-35,ELEC-011,Lighting panel fault,2024-01-12 05:00:00,2024-01-12 07:42:00,SC-159,Low,342.92,,Security,new,2.7,winter
WO-01401,ASSET-074,LOC-19,ELEC-015,Generator warning alarm,2024-01-12 09:00:00,2024-01-12 11:38:24,LF-125,Low,841.56,INSPECTED,Lift,new,2.64,winter
WO-03223,ASSET-138,LOC-50,WATR-002,Pump cavitation,2024-01-12 17:00:00,2024-01-12 22:07:48,SC-703,Critical,179.18,INSPECTED,Security,mid,5.13,winter
WO-03103,ASSET-425,LOC-33,STRC-004,Ceiling tile leak stain,2024-01-12 18:00:00,2024-01-12 19:40:12,FR-135,Critical,387.3,REPLACED,Fire,old,1.67,winter
WO-04248,ASSET-343,LOC-48,CUST-001,Tenant comfort complaint,2024-01-12 21:00:00,2024-01-12 23:11:24,GN-872,Low,273.63,PATCHED,General,mid,2.19,winter
WO-00881,ASSET-226,LOC-23,ELEC-015,Generator warning alarm,2024-01-12 21:00:00,2024-01-12 23:27:00,EL-282,Medium,470.21,RESET,Electrical,old,2.45,winter
WO-04774,ASSET-385,LOC-22,GEN-001,General handyman request,2024-01-13 08:00:00,2024-01-13 11:22:12,FR-270,Medium,698.44,PATCHED,Fire,old,3.37,winter
WO-03585,ASSET-214,LOC-31,ELEC-007,Circuit trip,2024-01-13 13:00:00,2024-01-13 15:58:48,FR-311,High,480.76,INSPECTED,Fire,mid,2.98,winter
WO-01998,ASSET-065,LOC-44,LIFT-005,Cabin leveling fault,2024-01-13 21:00:00,2024-01-14 00:52:12,LF-504,Low,347.18,RESET,Lift,new,3.87,winter
WO-00527,ASSET-298,LOC-07,ELEC-007,Circuit trip,2024-01-13 21:00:00,2024-01-14 01:06:36,SC-433,High,436.31,,Security,mid,4.11,winter
WO-02766,ASSET-268,LOC-18,STRC-001,Door closer failure,2024-01-14 00:00:00,2024-01-14 03:13:12,PL-228,Medium,646.71,REPLACED,Plumbing,mid,3.22,winter
WO-04059,ASSET-230,LOC-19,LIFT-005,Cabin leveling fault,2024-01-14 03:00:00,2024-01-14 05:34:48,GN-516,Critical,440.36,REPLACED,General,new,2.58,winter
WO-02868,ASSET-232,LOC-09,FIRE-006,Suppression valve issue,2024-01-14 06:00:00,2024-01-14 07:54:36,HV-232,Medium,142.57,PATCHED,HVAC,new,1.91,winter
WO-00998,ASSET-031,LOC-42,PLMB-003,Drain clog,2024-01-14 09:00:00,2024-01-14 12:25:12,,Medium,330.33,,Electrical,new,3.42,winter
WO-03486,ASSET-354,LOC-07,ROOF-003,Roof drain blockage,2024-01-15 00:00:00,2024-01-15 01:48:36,HV-771,Low,637.17,INSPECTED,HVAC,mid,1.81,winter
WO-04789,ASSET-079,LOC-46,WATR-002,Pump cavitation,2024-01-15 12:00:00,2024-01-15 12:49:12,LF-847,High,437.52,RESET,Lift,new,0.82,winter
WO-03393,ASSET-407,LOC-28,SEC-004,Access reader failure,2024-01-15 17:00:00,2024-01-15 19:37:48,HV-984,Low,459.94,,HVAC,mid,2.63,winter
WO-03618,ASSET-339,LOC-37,LIFT-002,Door malfunction,2024-01-15 18:00:00,2024-01-15 21:13:48,EL-389,Low,543.79,REPLACED,Electrical,mid,3.23,winter
WO-00001,ASSET-001,LOC-01,HVAC-001,Cooling failure,2024-01-16 00:00:00,2024-01-16 02:40:48,PL-125,Medium,348.2,REPLACED,Plumbing,mid,2.68,winter
WO-01342,ASSET-106,LOC-45,CUST-001,Tenant comfort complaint,2024-01-16 01:00:00,2024-01-16 03:58:12,SC-219,High,491.97,RESET,Security,new,2.97,winter
WO-04024,ASSET-082,LOC-30,BMS-009,Setpoint drift,2024-01-16 04:00:00,2024-01-16 06:51:00,HV-535,High,525.4,,HVAC,new,2.85,winter
WO-04075,ASSET-359,LOC-37,SEC-004,Access reader failure,2024-01-16 05:00:00,2024-01-16 06:24:00,FR-998,High,451.57,REPLACED,Fire,old,1.4,winter
WO-00310,ASSET-493,LOC-48,CUST-001,Tenant comfort complaint,2024-01-16 06:00:00,2024-01-16 10:07:48,LF-220,Critical,458.66,REPLACED,Lift,old,4.13,winter
WO-00590,ASSET-381,LOC-43,FIRE-006,Suppression valve issue,2024-01-16 08:00:00,2024-01-16 10:39:36,LF-307,Medium,361.83,RESET,Lift,new,2.66,winter
WO-00547,ASSET-216,LOC-20,ELEC-007,Circuit trip,2024-01-16 15:00:00,2024-01-16 18:45:36,FR-904,Critical,429.91,PATCHED,Fire,mid,3.76,winter
WO-03959,ASSET-216,LOC-49,GEN-001,General handyman request,2024-01-16 16:00:00,2024-01-16 18:57:00,FR-977,Critical,299.51,PATCHED,Fire,old,2.95,winter
WO-04122,ASSET-437,LOC-49,GEN-001,General handyman request,2024-01-17 03:00:00,2024-01-17 06:09:36,LF-921,Medium,238.55,INSPECTED,Lift,mid,3.16,winter
WO-02663,ASSET-457,LOC-26,ELEC-011,Lighting panel fault,2024-01-17 11:00:00,2024-01-17 14:35:24,EL-141,Critical,480.7,INSPECTED,Electrical,mid,3.59,winter
WO-02586,ASSET-235,LOC-45,ROOF-003,Roof drain blockage,2024-01-17 13:00:00,2024-01-17 14:58:48,PL-973,Low,421.91,INSPECTED,Plumbing,old,1.98,winter
WO-00978,ASSET-370,LOC-48,STRC-004,Ceiling tile leak stain,2024-01-17 17:00:00,2024-01-17 18:32:24,PL-804,Critical,435.17,PATCHED,Plumbing,old,1.54,winter
WO-01648,ASSET-396,LOC-44,LIFT-005,Cabin leveling fault,2024-01-17 19:00:00,2024-01-17 21:47:24,GN-394,High,289.04,REPLACED,General,new,2.79,winter
WO-03057,ASSET-152,LOC-24,STRC-001,Door closer failure,2024-01-17 20:00:00,2024-01-17 23:24:00,SC-964,High,499.84,PATCHED,Security,mid,3.4,winter
WO-03750,ASSET-237,LOC-22,GEN-001,General handyman request,2024-01-17 23:00:00,2024-01-18 02:28:12,BM-804,Medium,188.59,PATCHED,BMS,old,3.47,winter
WO-04293,ASSET-400,LOC-47,WATR-002,Pump cavitation,2024-01-18 01:00:00,2024-01-18 03:13:12,EL-872,Medium,188.29,RESET,Electrical,old,2.22,winter
WO-00165,ASSET-208,LOC-45,LIFT-002,Door malfunction,2024-01-18 02:00:00,2024-01-18 03:40:48,LF-349,High,337.08,,Lift,mid,1.68,winter
WO-03115,ASSET-148,LOC-43,WATR-006,Low pressure alert,2024-01-18 10:00:00,2024-01-18 15:25:12,LF-252,Medium,459.08,REPLACED,Lift,new,5.42,winter
WO-03114,ASSET-148,LOC-43,WATR-006,Low pressure alert,2024-01-18 10:00:00,2024-01-18 15:25:12,LF-252,Medium,459.08,REPLACED,Lift,new,5.42,winter
WO-04993,ASSET-020,LOC-14,HVAC-004,Compressor short cycling,2024-01-18 17:00:00,2024-01-18 20:59:24,PL-938,Low,733.83,REPLACED,Plumbing,new,3.99,winter
WO-01525,ASSET-333,LOC-22,CUST-001,Tenant comfort complaint,2024-01-18 21:00:00,2024-01-19 00:43:12,FR-525,Low,298.05,PATCHED,Fire,mid,3.72,winter
WO-00459,ASSET-019,LOC-36,FIRE-002,Detector false alarm,2024-01-19 03:00:00,2024-01-19 05:54:36,SC-662,Low,215.68,RESET,Security,old,2.91,winter
WO-02070,ASSET-419,LOC-07,LAND-002,Landscape irrigation issue,2024-01-19 11:00:00,2024-01-19 11:30:00,PL-144,Medium,624.24,RESET,Plumbing,new,0.5,winter
WO-04364,ASSET-301,LOC-27,STRC-001,Door closer failure,2024-01-19 22:00:00,2024-01-20 01:51:00,EL-188,High,367.01,,Electrical,old,3.85,winter
WO-03962,ASSET-189,LOC-19,HVAC-010,Airflow imbalance,2024-01-19 22:00:00,2024-01-19 23:15:00,FR-362,High,514.5,RESET,Fire,old,1.25,winter
WO-02110,ASSET-205,LOC-13,GEN-001,General handyman request,2024-01-20 06:00:00,2024-01-20 09:43:12,,Low,361.18,PATCHED,Plumbing,old,3.72,winter
WO-03022,ASSET-288,LOC-18,ELEC-015,Generator warning alarm,2024-01-20 07:00:00,2024-01-20 10:31:12,,Critical,369.77,INSPECTED,BMS,new,3.52,winter
WO-00243,ASSET-281,LOC-47,ELEC-007,Circuit trip,2024-01-20 08:00:00,2024-01-20 11:07:48,EL-723,Critical,392.73,RESET,Electrical,mid,3.13,winter
WO-03144,ASSET-405,LOC-25,SEC-008,Camera offline,2024-01-20 09:00:00,2024-01-20 12:04:12,LF-358,Low,709.33,RESET,Lift,old,3.07,winter
WO-01116,ASSET-023,LOC-15,FIRE-002,Detector false alarm,2024-01-20 12:00:00,2024-01-20 14:04:12,GN-310,Critical,422.22,REPLACED,General,old,2.07,winter
WO-02756,ASSET-155,LOC-45,LIFT-005,Cabin leveling fault,2024-01-20 14:00:00,2024-01-20 15:49:12,GN-979,Low,397.59,PATCHED,General,new,1.82,winter
WO-02187,ASSET-490,LOC-15,HVAC-010,Airflow imbalance,2024-01-20 18:00:00,2024-01-20 18:33:00,EL-569,High,599.49,REPLACED,Electrical,new,0.55,winter
WO-02919,ASSET-226,LOC-10,FIRE-006,Suppression valve issue,2024-01-20 20:00:00,2024-01-20 23:54:00,BM-811,High,274.07,PATCHED,BMS,new,3.9,winter
WO-00009,ASSET-002,LOC-02,HVAC-004,Compressor short cycling,2024-01-21 00:00:00,2024-01-21 02:43:12,EL-384,High,396.85,CLEANED,Electrical,new,2.72,winter
WO-04019,ASSET-010,LOC-40,WATR-006,Low pressure alert,2024-01-21 12:00:00,2024-01-21 17:52:12,BM-549,Critical,245.19,REPLACED,BMS,old,5.87,winter
WO-04086,ASSET-037,LOC-47,LAND-002,Landscape irrigation issue,2024-01-21 13:00:00,2024-01-21 14:30:36,LF-345,High,318.0,,Lift,old,1.51,winter
WO-04829,ASSET-326,LOC-38,PLMB-003,Drain clog,2024-01-22 00:00:00,2024-01-22 04:24:00,BM-725,Critical,105.3,RESET,BMS,new,4.4,winter
WO-00981,ASSET-419,LOC-26,PLMB-010,Restroom backup,2024-01-22 09:00:00,2024-01-22 11:13:12,EL-803,Medium,274.54,RESET,Electrical,new,2.22,winter
WO-02394,ASSET-096,LOC-37,IT-005,UPS battery alert,2024-01-22 17:00:00,2024-01-22 20:51:36,BM-854,Low,191.28,INSPECTED,BMS,old,3.86,winter
WO-00749,ASSET-431,LOC-48,PARK-004,Barrier gate fault,2024-01-22 20:00:00,2024-01-23 00:12:36,HV-778,Low,290.48,REPLACED,HVAC,mid,4.21,winter
WO-01943,ASSET-362,LOC-01,ROOF-003,Roof drain blockage,2024-01-22 23:00:00,2024-01-23 00:26:24,EL-163,Low,364.26,PATCHED,Electrical,new,1.44,winter
WO-00021,ASSET-003,LOC-03,HVAC-010,Airflow imbalance,2024-01-23 00:00:00,2024-01-23 02:57:00,LF-573,High,509.44,REPLACED,Lift,old,2.95,winter
WO-03727,ASSET-083,LOC-19,STRC-001,Door closer failure,2024-01-23 04:00:00,2024-01-23 05:27:00,PL-540,Critical,378.96,INSPECTED,Plumbing,mid,1.45,winter
WO-01729,ASSET-385,LOC-20,LIFT-008,Control panel reset,2024-01-23 05:00:00,2024-01-23 06:06:36,BM-607,Medium,644.56,PATCHED,BMS,new,1.11,winter
WO-00972,ASSET-357,LOC-09,WATR-006,Low pressure alert,2024-01-23 05:00:00,2024-01-23 09:19:48,BM-396,Low,537.19,,BMS,new,4.33,winter
WO-02818,ASSET-415,LOC-23,PLMB-003,Drain clog,2024-01-23 06:00:00,2024-01-23 08:28:12,BM-881,Critical,545.3,PATCHED,BMS,mid,2.47,winter
WO-03693,ASSET-223,LOC-49,GEN-005,Furniture repair,2024-01-23 15:00:00,2024-01-23 17:05:24,PL-737,High,680.67,PATCHED,Plumbing,old,2.09,winter
WO-00926,ASSET-217,LOC-44,FIRE-002,Detector false alarm,2024-01-23 17:00:00,2024-01-23 20:29:24,FR-584,High,378.61,INSPECTED,Fire,mid,3.49,winter
WO-00567,ASSET-471,LOC-36,GEN-005,Furniture repair,2024-01-23 22:00:00,2024-01-24 00:13:48,BM-623,Medium,382.27,RESET,BMS,new,2.23,winter
WO-02644,ASSET-285,LOC-25,PLMB-003,Drain clog,2024-01-24 02:00:00,2024-01-24 09:24:36,LF-109,High,588.73,INSPECTED,Lift,old,7.41,winter
